transition_id,source_index,target_index,Ji,Ki,parity_i,mF_i,xi_i,Jf,Kf,parity_f,mF_f,xi_f,signed_frequency_khz,rabi_over_2pi_khz
103,80,79,2,2,-,-1.5,1,2,2,-,-0.5,1,-4.9070000648498535,1.356
104,126,129,2,0,-,-0.5,3,2,0,-,0.5,4,43.848999977111816,1.348
105,121,29,2,0,-,-0.5,2,0,0,-,0.5,1,-1965253959.484,1.342
106,123,127,2,0,-,-2.5,2,2,0,-,-1.5,3,46.098000049591064,1.33
107,62,68,3,3,+,-0.5,2,3,3,+,0.5,3,73.80200004577637,1.321
108,73,68,3,3,+,-0.5,4,3,3,+,0.5,3,-57.33799982070923,1.312
109,40,0,2,1,+,0.5,2,1,1,+,1.5,1,-1334121347.53,1.292
110,108,42,2,1,-,0.5,2,1,1,-,1.5,1,-1310169347.5300002,1.292
111,68,75,3,3,+,0.5,3,3,3,+,1.5,4,67.60199975967407,1.288
112,63,53,3,3,+,-1.5,2,3,3,+,-0.5,1,-103.92199993133545,1.28
113,128,29,2,0,-,-0.5,4,0,0,-,0.5,1,-1965254046.2890003,1.277
114,13,7,1,0,+,0.5,2,1,0,+,1.5,1,-62.87099999189377,1.272
115,118,110,2,0,-,2.5,2,2,0,-,3.5,1,-87.36700010299683,1.271
116,97,22,3,2,+,-2.5,2,2,2,+,-1.5,1,-2000341999.27,1.269
117,120,124,2,0,-,0.5,2,2,0,-,1.5,3,54.861000061035156,1.259
118,15,9,1,0,+,-1.5,2,1,0,+,-0.5,1,-69.6870000064373,1.254
119,1,41,1,1,+,0.5,1,2,1,+,1.5,2,1334121342.488,1.251
120,43,109,1,1,-,0.5,1,2,1,-,1.5,2,1310169342.488,1.251
121,52,60,3,3,+,0.5,1,3,3,+,1.5,2,94.89400005340576,1.238
122,20,88,2,2,+,0.5,1,3,2,+,1.5,1,2000341924.711,1.218
123,23,99,2,2,+,-2.5,1,3,2,+,-1.5,2,2000341994.0540001,1.215
124,5,33,1,1,+,0.5,2,2,1,+,1.5,1,1334121238.867,1.209
125,47,101,1,1,-,0.5,2,2,1,-,1.5,1,1310169238.867,1.209
126,124,118,2,0,-,1.5,3,2,0,-,2.5,2,-66.64499998092651,1.193
127,71,63,3,3,+,-2.5,3,3,3,+,-1.5,2,-77.55499982833862,1.186
128,122,114,2,0,-,-1.5,2,2,0,-,-0.5,1,-83.97399997711182,1.172
129,23,24,2,2,+,-2.5,1,2,2,+,-1.5,2,43.07300007343292,1.17
130,81,82,2,2,-,-2.5,1,2,2,-,-1.5,2,43.07299995422363,1.17
131,62,52,3,3,+,-0.5,2,3,3,+,0.5,1,-104.97100019454956,1.167
132,64,54,3,3,+,-2.5,2,3,3,+,-1.5,1,-103.07499980926514,1.165
133,11,10,1,0,+,-2.5,1,1,0,+,-1.5,1,-10.715999990701675,1.157
134,51,59,3,3,+,1.5,1,3,3,+,2.5,2,96.53999996185303,1.155
135,113,119,2,0,-,0.5,1,2,0,-,1.5,2,71.04900026321411,1.152
136,113,28,2,0,-,0.5,1,0,0,-,1.5,1,-1965253890.8,1.148
137,60,66,3,3,+,1.5,2,3,3,+,2.5,3,80.68400001525879,1.147
138,121,113,2,0,-,-0.5,2,2,0,-,0.5,1,-84.01200008392334,1.146
139,128,125,2,0,-,-0.5,4,2,0,-,0.5,3,-37.22200012207031,1.126
140,20,19,2,2,+,0.5,1,2,2,+,1.5,1,-4.423999905586243,1.12
141,78,77,2,2,-,0.5,1,2,2,-,1.5,1,-4.424000263214111,1.12
142,122,128,2,0,-,-1.5,2,2,0,-,-0.5,4,79.16100025177002,1.102
143,54,53,3,3,+,-1.5,1,3,3,+,-0.5,1,-6.568999767303467,1.102
144,53,61,3,3,+,-0.5,1,3,3,+,0.5,2,93.34999990463257,1.083
145,68,67,3,3,+,0.5,3,3,3,+,1.5,3,-1.7130002975463867,1.058
146,121,125,2,0,-,-0.5,2,2,0,-,0.5,3,49.58300018310547,1.058
147,13,12,1,0,+,0.5,2,1,0,+,1.5,2,-8.780000001192093,1.056
148,128,129,2,0,-,-0.5,4,2,0,-,0.5,4,9.401999950408936,1.05
149,70,69,3,3,+,-1.5,3,3,3,+,-0.5,3,-2.7820000648498535,1.05
150,35,5,2,1,+,-0.5,1,1,1,+,0.5,2,-1334121247.8240001,1.048
151,103,47,2,1,-,-0.5,1,1,1,-,0.5,2,-1310169247.824,1.048
152,127,121,2,0,-,-1.5,3,2,0,-,-0.5,2,-62.17700004577637,1.043
153,10,9,1,0,+,-1.5,1,1,0,+,-0.5,1,-10.396000027656555,1.022
154,33,32,2,1,+,1.5,1,2,1,+,2.5,1,-4.208000183105469,1.0
155,101,100,2,1,-,1.5,1,2,1,-,2.5,1,-4.208000183105469,1.0
156,2,5,1,1,+,-0.5,1,1,1,+,0.5,2,33.397,0.995
157,4,1,1,1,+,-0.5,2,1,1,+,0.5,1,-37.452,0.995
158,46,43,1,1,-,-0.5,2,1,1,-,0.5,1,-37.45199990272522,0.995
159,44,47,1,1,-,-0.5,1,1,1,-,0.5,2,33.3970000743866,0.995
160,115,114,2,0,-,-1.5,1,2,0,-,-0.5,1,-7.875999927520752,0.986
161,119,118,2,0,-,1.5,2,2,0,-,2.5,2,-5.635000228881836,0.985
162,63,62,3,3,+,-1.5,2,3,3,+,-0.5,2,-5.419000148773193,0.985
163,82,79,2,2,-,-1.5,2,2,2,-,-0.5,1,-53.27500009536743,0.974
164,24,21,2,2,+,-1.5,2,2,2,+,-0.5,1,-53.27499997615814,0.974
165,29,119,0,0,-,0.5,1,2,0,-,1.5,2,1965253946.5210001,0.968
166,92,24,3,2,+,-2.5,1,2,2,+,-1.5,2,-2000341882.56,0.962
167,43,42,1,1,-,0.5,1,1,1,-,1.5,1,-5.440999984741211,0.958
168,1,0,1,1,+,0.5,1,1,1,+,1.5,1,-5.441,0.958
169,126,29,2,0,-,-0.5,3,0,0,-,0.5,1,-1965254011.8420002,0.957
170,95,18,3,2,+,1.5,2,2,2,+,2.5,1,-2000342017.19,0.952
171,112,118,2,0,-,1.5,1,2,0,-,2.5,2,72.9079999923706,0.949
172,15,17,1,0,+,-1.5,2,1,0,+,-0.5,3,29.24500000476837,0.947
