transition_id,source_index,target_index,Ji,Ki,parity_i,mF_i,xi_i,Jf,Kf,parity_f,mF_f,xi_f,signed_frequency_khz,rabi_over_2pi_khz
244,105,106,2,1,-,-2.5,1,2,1,-,-1.5,2,43.09100008010864,0.586
245,38,4,2,1,+,-1.5,2,1,1,+,-0.5,2,-1334121303.1420002,0.566
246,106,46,2,1,-,-1.5,2,1,1,-,-0.5,2,-1310169303.142,0.566
247,102,101,2,1,-,0.5,1,2,1,-,1.5,1,-4.374000072479248,0.56
248,34,33,2,1,+,0.5,1,2,1,+,1.5,1,-4.373999834060669,0.56
249,125,119,2,0,-,0.5,3,2,0,-,1.5,2,-62.5460000038147,0.547
250,59,49,3,3,+,2.5,2,3,3,+,3.5,1,-109.00799989700317,0.534
251,114,125,2,0,-,-0.5,1,2,0,-,0.5,3,125.91300010681152,0.532
252,88,87,3,2,+,1.5,1,3,2,+,2.5,1,-3.7249999046325684,0.529
253,8,7,1,0,+,0.5,1,1,0,+,1.5,1,-9.602999985218048,0.527
254,127,128,2,0,-,-1.5,3,2,0,-,-0.5,4,24.628000259399414,0.525
255,124,111,2,0,-,1.5,3,2,0,-,2.5,1,-146.86800003051758,0.514
256,126,125,2,0,-,-0.5,3,2,0,-,0.5,3,-2.7750000953674316,0.496
257,55,70,3,3,+,-2.5,1,3,3,+,-1.5,3,163.9370002746582,0.492
258,125,112,2,0,-,0.5,3,2,0,-,1.5,1,-141.08900022506714,0.488
259,38,35,2,1,+,-1.5,2,2,1,+,-0.5,1,-53.2039999961853,0.487
260,106,103,2,1,-,-1.5,2,2,1,-,-0.5,1,-53.2039999961853,0.487
261,122,121,2,0,-,-1.5,2,2,0,-,-0.5,2,-7.644000053405762,0.481
262,64,70,3,3,+,-2.5,2,3,3,+,-1.5,3,67.53500032424927,0.48
263,62,74,3,3,+,-0.5,2,3,3,+,0.5,4,136.625,0.477
264,116,122,2,0,-,-2.5,1,2,0,-,-1.5,2,68.02600002288818,0.47
265,5,0,1,1,+,0.5,2,1,1,+,1.5,1,-45.007,0.468
266,47,42,1,1,-,0.5,2,1,1,-,1.5,1,-45.00699996948242,0.468
267,54,69,3,3,+,-1.5,1,3,3,+,-0.5,3,167.82800006866455,0.46
268,74,60,3,3,+,0.5,4,3,3,+,1.5,2,-146.7020001411438,0.452
269,75,59,3,3,+,1.5,4,3,3,+,2.5,2,-156.20699977874756,0.45
270,96,95,3,2,+,0.5,2,3,2,+,1.5,2,-0.21499967575073242,0.441
271,56,71,3,3,+,-3.5,1,3,3,+,-2.5,3,161.4539999961853,0.435
272,97,99,3,2,+,-2.5,2,3,2,+,-1.5,2,0.07899999618530273,0.43
273,93,92,3,2,+,-3.5,1,3,2,+,-2.5,1,-4.230000019073486,0.429
274,39,34,2,1,+,-0.5,2,2,1,+,0.5,1,-58.67300009727478,0.428
275,35,40,2,1,+,-0.5,1,2,1,+,0.5,2,54.698999881744385,0.428
276,107,102,2,1,-,-0.5,2,2,1,-,0.5,1,-58.6729998588562,0.428
277,103,108,2,1,-,-0.5,1,2,1,-,0.5,2,54.69900035858154,0.428
278,26,95,2,2,+,0.5,2,3,2,+,1.5,2,2000341949.249,0.422
279,9,8,1,0,+,-0.5,1,1,0,+,0.5,1,-10.023999989032745,0.422
280,128,120,2,0,-,-0.5,4,2,0,-,0.5,2,-93.61900043487549,0.407
